step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
589,DEBIT,4680.109154034646,3662.683872447424,0.0,79914.61380720012,84594.72296123477,0.0
543,CASH_IN,10171.968227829771,391390.8002035003,381218.83197567053,476.94907669951215,10648.917304529283,0.0
551,CASH_OUT,2633540.9415873946,1842117.6607293063,0.0,61692.65968177476,2695233.6012691692,1.0
306,CASH_IN,4746.858866971669,18360.6154984346,13613.75663146293,3629.042584745336,8375.901451717005,0.0
726,CASH_IN,18853.514091830708,362347.905840082,343494.3917482513,99769.84175012672,118623.35584195744,0.0
638,TRANSFER,8846.616075222766,12151.44839310269,3304.8323178799237,109920.73419479838,118767.35027002115,0.0
165,CASH_OUT,2753.786394444568,44270.16405183495,41516.37765739038,7108.870263765006,9862.656658209573,0.0
621,CASH_OUT,51132.21358656682,6448.41766543675,0.0,142577.8870095647,193710.10059613152,1.0
88,CASH_OUT,23693.223389601895,167560.05042455703,143866.82703495515,659.6172489069926,24352.84063850889,1.0
200,CASH_IN,136223.82963455466,6141.155691577641,0.0,16529.089014819598,152752.91864937425,0.0
271,DEBIT,111430.44244694347,3695.137340292817,0.0,107163.7148924635,218594.15733940696,1.0
51,CASH_OUT,133441.09694688342,24185.340801860555,0.0,76375.01947326762,209816.11642015103,0.0
489,CASH_IN,3510.779088263119,112818.18702950905,109307.40794124593,7248.937314285658,10759.716402548776,1.0
198,TRANSFER,79373.6396996703,30555.6907490392,0.0,128567.51155188997,207941.15125156025,1.0
23,DEBIT,83328.2588548346,8620.915203046652,0.0,138469.45550961833,221797.71436445293,0.0
665,TRANSFER,2857.9904117018104,3643.294948338663,785.3045366368524,2107.516214727395,4965.506626429205,0.0
223,DEBIT,11646.576062073718,754.6216936683917,0.0,17607.355326702855,29253.931388776575,1.0
221,CASH_IN,1197.241939923842,8843.993662829267,7646.751722905425,32535.644864991456,33732.886804915295,0.0
663,PAYMENT,84056.56674040885,16222.79009182672,0.0,31618.50144078229,115675.06818119113,0.0
266,DEBIT,83286.7655754919,66697.39109562596,0.0,111622.71770401431,194909.4832795062,0.0
73,TRANSFER,384894.9035593207,2134.0678908114255,0.0,9638.487298247483,394533.3908575682,0.0
77,CASH_IN,13938.40117448606,83815.66477363343,69877.26359914737,580493.5996782527,594432.0008527387,0.0
544,DEBIT,54335.831746476855,6712.207370686222,0.0,10017.62701654969,64353.458763026545,0.0
435,PAYMENT,158811.01701390857,7882.960499776719,0.0,2280.124969086851,161091.1419829954,1.0
65,PAYMENT,4876.665386759119,267651.09668299416,262774.43129623507,13997.055831254716,18873.721218013838,1.0
357,CASH_OUT,3597.770824968112,155.29137445860678,0.0,36617.02495697808,40214.79578194619,0.0
18,CASH_OUT,5188.65400112835,1893.8027460613978,0.0,2085.1316129758734,7273.785614104223,1.0
676,TRANSFER,10953.442436376099,24131.929465947866,13178.487029571766,11914.049061357911,22867.49149773401,0.0
566,DEBIT,3861.810093596978,21808.5638449807,17946.753751383723,1843.944513737733,5705.754607334711,0.0
575,DEBIT,5655.278184929178,732.1833631718956,0.0,89886.77867744796,95542.05686237714,0.0
436,CASH_OUT,128262.00155955748,8197.511423724969,0.0,15445.143705076312,143707.1452646338,1.0
441,DEBIT,18165.995330416772,149646.38662234275,131480.39129192597,186.43808099870935,18352.43341141548,0.0
9,DEBIT,40676.13140028168,2152.4007640505056,0.0,175620.0279784205,216296.15937870217,0.0
470,PAYMENT,7321.470126638971,191282.09484585872,183960.62471921975,2119.3045527047034,9440.774679343675,0.0
632,CASH_OUT,6420.614712014742,5258.9122399816,0.0,4564660.875396643,4571081.490108658,1.0
348,CASH_IN,38992.000125390754,520.1680230493206,0.0,5614.636885880173,44606.63701127093,0.0
602,CASH_OUT,28342.696474151973,113342.67584795703,84999.97937380505,6927.940051788779,35270.636525940754,1.0
372,CASH_IN,104398.78919518377,36365.781818130534,0.0,30358.307851199,134757.09704638275,0.0
175,PAYMENT,297504.9064224071,1173.946875781588,0.0,176.16569085554627,297681.0721132626,0.0
515,TRANSFER,5525.7573363643205,7438.630520248751,1912.8731838844305,53148.17174643095,58673.929082795265,0.0
130,DEBIT,123299.18454274959,693791.0846508393,570491.9001080898,89537.50165415804,212836.68619690763,0.0
566,PAYMENT,2541.1897722529393,82183.0770782706,79641.88730601766,134935.57474709564,137476.76451934857,0.0
293,DEBIT,1393818.0883241424,205001.40638885566,0.0,38617.44905950782,1432435.5373836502,1.0
696,TRANSFER,4570.564017748324,2260.5527977954694,0.0,26427.397061938,30997.961079686327,1.0
353,TRANSFER,87663.52098201003,255392.51197418993,167728.9909921799,1059.0034621007635,88722.5244441108,1.0
224,PAYMENT,2503.6859937779877,1276.776703292014,0.0,59059.81821349428,61563.50420727227,1.0
524,TRANSFER,16249.513156456394,1360.1654113079553,0.0,20259.156095457136,36508.66925191353,1.0
707,CASH_IN,484787.67196898226,117036.2069443723,0.0,9376.025269220676,494163.69723820296,0.0
509,TRANSFER,4292.35879304998,1537.3864481650871,0.0,2791.0908388198573,7083.449631869837,0.0
368,DEBIT,1809158.4235901635,458227.8869201674,0.0,57513.36201331104,1866671.7856034746,1.0
666,DEBIT,21795.28205330474,1799.3490583579394,0.0,11553.395153673793,33348.67720697854,1.0
590,DEBIT,155037.93005008632,3152.2612885278145,0.0,510.7128085069871,155548.64285859332,0.0
652,DEBIT,49310.343582874324,221093.97737461692,171783.6337917426,14099.85535616556,63410.19893903988,0.0
500,CASH_IN,54944.56963462731,6364.530722481359,0.0,4718.084940740744,59662.654575368055,0.0
90,CASH_OUT,1271.2711262542762,108045.70910366812,106774.43797741385,127002.54194495827,128273.81307121254,0.0
656,PAYMENT,8555.198715432027,2376.1273371922844,0.0,15810.181225991359,24365.379941423387,0.0
72,DEBIT,240855.6149795929,12667.545395319667,0.0,13024.011560240868,253879.6265398338,1.0
433,TRANSFER,11062.956969716512,96928.59307387793,85865.63610416141,40841.855517012475,51904.81248672899,1.0
689,DEBIT,29075.877730766188,4058.4311598680542,0.0,627717.7313960912,656793.6091268574,1.0
348,TRANSFER,997.4038401466794,170323.30273245648,169325.8988923098,49618.30192870314,50615.705768849824,0.0
263,TRANSFER,7516.426601214393,10715.311563832076,3198.8849626176834,4540.219028129797,12056.64562934419,1.0
271,DEBIT,208163.39335135356,28006.23201200759,0.0,978.5875836067762,209141.98093496033,0.0
509,CASH_IN,1693.8191936721191,2965.126446617402,1271.307252945283,315042.2377613264,316736.0569549985,0.0
508,TRANSFER,92425.48894687263,4718.642897501455,0.0,163.3988577546561,92588.88780462729,0.0
617,TRANSFER,31431.19899497088,4071.2904396956483,0.0,21092.80942526152,52524.0084202324,1.0
420,DEBIT,13740.308633782413,6516.244290974005,0.0,2418741.17784846,2432481.4864822426,1.0
72,TRANSFER,12583.615824119657,485243.4989864795,472659.8831623598,629.3591015303638,13212.974925650022,0.0
74,TRANSFER,8249.77003045648,207229.01828493594,198979.24825447946,2358.94294241807,10608.71297287455,0.0
655,DEBIT,9858.19192353161,54371.70426727263,44513.51234374102,32808.567261476324,42666.75918500793,1.0
503,DEBIT,141418.7250286578,5900.329811116317,0.0,4396.133015782459,145814.85804444025,1.0
574,PAYMENT,9282.743069707612,4088.1265619376964,0.0,17476.809194445967,26759.55226415358,1.0
146,CASH_IN,818460.6872361013,3167.732831745751,0.0,51546.53477688974,870007.222012991,1.0
46,CASH_IN,40097.32913989994,11996.047807299456,0.0,68768.5617646342,108865.89090453414,0.0
741,TRANSFER,6956.808796577368,38571.09455239468,31614.285755817313,201989.2947720294,208946.10356860675,1.0
105,CASH_IN,154312.01528725115,75247.88795823693,0.0,931.5465559423984,155243.56184319354,1.0
